date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo,home_scored_last10,home_conceded_last10,away_scored_last10,away_conceded_last10
2014-11-06,Saudi Arabia,Palestine,2.0,0.0,Friendly,Dammam,Saudi Arabia,False,1582.5185665136958,1349.6980988781488,8.0,16.0,20.0,9.0
2014-11-06,United Arab Emirates,Lebanon,3.0,2.0,Friendly,Al Hofuf,Saudi Arabia,True,1650.6225351569499,1123.5279281985938,15.0,10.0,11.0,17.0
2014-11-07,Bahrain,Singapore,2.0,0.0,Friendly,Riffa,Bahrain,False,1519.8564132016572,1182.961348096124,4.0,4.0,11.0,16.0
2014-11-07,Oman,Yemen,2.0,0.0,Friendly,Muscat,Oman,False,1652.455857754717,852.3473166328579,8.0,11.0,8.0,19.0
2014-11-08,Székely Land,Raetia,3.0,0.0,Friendly,Sepsiszentgyörgy,Romania,False,1300.0,1174.1998639544374,,,10.0,32.0
2014-11-09,Thailand,Philippines,3.0,0.0,Friendly,Nakhon Ratchasima,Thailand,False,1445.3037156107564,1257.0132213393797,13.0,24.0,22.0,7.0
2014-11-09,Uganda,Ethiopia,3.0,0.0,Friendly,Kampala,Uganda,False,1568.7658627710862,1260.9599647842163,8.0,5.0,12.0,16.0
2014-11-09,Vietnam,Palestine,1.0,3.0,Friendly,Hanoi,Vietnam,False,1272.7792466546505,1328.8475472787793,17.0,20.0,19.0,11.0
2014-11-11,Cuba,French Guiana,1.0,1.0,CFU Caribbean Cup,Montego Bay,Jamaica,True,1279.3711568600825,1249.098745249194,10.0,18.0,22.0,7.0
2014-11-11,Curaçao,Trinidad and Tobago,2.0,3.0,CFU Caribbean Cup,Montego Bay,Jamaica,True,996.7329788484305,1476.8183358709823,10.0,14.0,18.0,10.0
2014-11-12,Argentina,Croatia,2.0,1.0,Friendly,London,England,True,2336.282647684095,1991.0238164952207,19.0,8.0,22.0,9.0
2014-11-12,Belgium,Iceland,3.0,1.0,Friendly,Brussels,Belgium,False,1851.7252334717764,1191.9062034742583,18.0,4.0,12.0,9.0
2014-11-12,Haiti,Antigua and Barbuda,2.0,2.0,CFU Caribbean Cup,Montego Bay,Jamaica,True,1292.8845705354772,1171.7664766020234,8.0,14.0,8.0,15.0
2014-11-12,Netherlands,Mexico,2.0,3.0,Friendly,Amsterdam,Netherlands,False,2247.86258831982,2031.640442234331,14.0,10.0,10.0,6.0
2014-11-12,Norway,Estonia,0.0,1.0,Friendly,Oslo,Norway,False,1518.979813868537,1055.4936556910977,10.0,15.0,6.0,9.0
2014-11-12,Turkey,Brazil,0.0,4.0,Friendly,Istanbul,Turkey,False,1665.70373672645,2579.278299530226,18.0,13.0,18.0,14.0
2014-11-13,Saudi Arabia,Qatar,1.0,1.0,Gulf Cup,Riyadh,Saudi Arabia,False,1603.3691181130653,1629.4035452849891,8.0,15.0,16.0,5.0
2014-11-13,Curaçao,Cuba,2.0,3.0,CFU Caribbean Cup,Montego Bay,Jamaica,True,980.0413160010943,1278.8266741952946,11.0,15.0,10.0,19.0
2014-11-13,North Korea,Hong Kong,2.0,1.0,EAFF Championship,Taipei,Taiwan,True,1552.394743077018,1087.5962872698153,12.0,13.0,5.0,24.0
2014-11-13,Morocco,Benin,6.0,1.0,Friendly,Agadir,Morocco,False,1592.3667629716708,1127.405898916075,14.0,9.0,12.0,15.0
2014-11-13,Trinidad and Tobago,French Guiana,4.0,2.0,CFU Caribbean Cup,Montego Bay,Jamaica,True,1493.5099987183187,1249.643227913982,18.0,9.0,17.0,8.0
2014-11-13,Uruguay,Costa Rica,3.0,3.0,Friendly,Montevideo,Uruguay,False,2013.2274201505934,1752.2652167417095,14.0,7.0,18.0,9.0
2014-11-13,Yemen,Bahrain,0.0,0.0,Gulf Cup,Riyadh,Saudi Arabia,True,840.3360885081806,1538.9120138193455,6.0,18.0,5.0,3.0
2014-11-13,Singapore,Laos,2.0,0.0,Friendly,Yishun,Singapore,False,1163.9057474784358,837.7960738933534,10.0,18.0,14.0,20.0
2014-11-14,Ivory Coast,Sierra Leone,5.0,1.0,African Cup of Nations qualification,Abidjan,Ivory Coast,False,1966.834825448847,1146.6341819281845,16.0,19.0,10.0,12.0
2014-11-14,Japan,Honduras,6.0,0.0,Friendly,Toyota,Japan,False,1979.7297100276983,1512.8570261493646,13.0,18.0,9.0,22.0
2014-11-14,Botswana,Tunisia,0.0,0.0,African Cup of Nations qualification,Gaborone,Botswana,False,1323.5002759439249,1781.6014838251583,8.0,9.0,10.0,7.0
2014-11-14,China,New Zealand,1.0,1.0,Friendly,Nanchang,China,False,1755.6932632530566,1450.1612946705454,14.0,9.0,11.0,19.0
2014-11-14,France,Albania,1.0,1.0,Friendly,Rennes,France,False,2179.0641625553008,1232.5211394253986,25.0,5.0,11.0,5.0
2014-11-14,Georgia,Poland,0.0,4.0,UEFA Euro qualification,Tbilisi,Georgia,False,1050.3280948438883,1707.0942543751707,8.0,8.0,17.0,6.0
2014-11-14,Germany,Gibraltar,4.0,0.0,UEFA Euro qualification,Nuremberg,Germany,False,2376.643601449251,1376.4851754014157,19.0,12.0,9.0,27.0
2014-11-14,Hungary,Finland,1.0,0.0,UEFA Euro qualification,Budapest,Hungary,False,1473.9329994404836,1435.1408244074785,18.0,16.0,11.0,12.0
2014-11-14,Iraq,Kuwait,0.0,1.0,Gulf Cup,Riyadh,Saudi Arabia,True,1544.3745984797813,1606.2908304331481,9.0,8.0,13.0,14.0
2014-11-14,Greece,Faroe Islands,0.0,1.0,UEFA Euro qualification,Piraeus,Greece,False,1783.7373102320742,461.53018666521416,6.0,10.0,9.0,20.0
