model,match_id,match,scoreline,actual,action,model_p,implied,diff,hit,pnl
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,0-0,4-2,BUY,0.1514,0.0063,0.1451,0.0,-0.0063
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,0-1,4-2,BUY,0.0878,0.0063,0.0815,0.0,-0.0063
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,0-2,4-2,BUY,0.028,0.0063,0.0217,0.0,-0.0063
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,1-0,4-2,BUY,0.1731,0.0443,0.1288,0.0,-0.0443
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,1-1,4-2,BUY,0.1235,0.0063,0.1172,0.0,-0.0063
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,1-2,4-2,BUY,0.0439,0.0063,0.0376,0.0,-0.0063
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,2-0,4-2,BUY,0.0992,0.0063,0.0929,0.0,-0.0063
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,2-1,4-2,BUY,0.0852,0.0063,0.0788,0.0,-0.0063
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,2-2,4-2,SELL,0.0338,0.1329,-0.0991,0.0,0.1329
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,2-3,4-2,SELL,0.0085,0.0759,-0.0674,0.0,0.0759
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,3-0,4-2,BUY,0.04,0.0063,0.0337,0.0,-0.0063
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,3-1,4-2,BUY,0.038,0.0063,0.0317,0.0,-0.0063
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,3-2,4-2,SELL,0.0161,0.1582,-0.1421,0.0,0.1582
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,3-3,4-2,SELL,0.0042,0.0759,-0.0718,0.0,0.0759
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,4-2,4-2,SELL,0.0055,0.0759,-0.0705,1.0,-0.9241
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,4-3,4-2,SELL,0.0014,0.038,-0.0365,0.0,0.038
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,5-2,4-2,SELL,0.0015,0.0253,-0.0239,0.0,0.0253
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,3-4,4-2,SELL,0.0008,0.0253,-0.0245,0.0,0.0253
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,5-4,4-2,SELL,0.0001,0.0253,-0.0252,0.0,0.0253
M5 NegBin+Frank (calib 1X2+O/U),26JUN17ENGCRO,England vs Croatia,5-5,4-2,SELL,0.0,0.1646,-0.1645,0.0,0.1646
M3 NegBin+Frank,26JUN17GHAPAN,Ghana vs Panama,0-0,1-0,SELL,0.1225,0.2703,-0.1478,0.0,0.2703
M3 NegBin+Frank,26JUN17GHAPAN,Ghana vs Panama,0-1,1-0,SELL,0.1007,0.1622,-0.0615,0.0,0.1622
M3 NegBin+Frank,26JUN17GHAPAN,Ghana vs Panama,1-0,1-0,SELL,0.1316,0.1712,-0.0395,1.0,-0.8288
M3 NegBin+Frank,26JUN17GHAPAN,Ghana vs Panama,1-1,1-0,BUY,0.1314,0.0991,0.0323,0.0,-0.0991
M3 NegBin+Frank,26JUN17GHAPAN,Ghana vs Panama,1-2,1-0,BUY,0.0646,0.018,0.0466,0.0,-0.018
M3 NegBin+Frank,26JUN17GHAPAN,Ghana vs Panama,2-1,1-0,BUY,0.0841,0.027,0.057,0.0,-0.027
M3 NegBin+Frank,26JUN17GHAPAN,Ghana vs Panama,2-2,1-0,BUY,0.0471,0.018,0.0291,0.0,-0.018
M3 NegBin+Frank,26JUN17GHAPAN,Ghana vs Panama,3-1,1-0,BUY,0.0355,0.009,0.0265,0.0,-0.009
M4 NegBin+Frank (calib 1X2),26JUN17GHAPAN,Ghana vs Panama,0-0,1-0,SELL,0.112,0.2703,-0.1583,0.0,0.2703
M4 NegBin+Frank (calib 1X2),26JUN17GHAPAN,Ghana vs Panama,0-1,1-0,SELL,0.0988,0.1622,-0.0634,0.0,0.1622
M4 NegBin+Frank (calib 1X2),26JUN17GHAPAN,Ghana vs Panama,1-0,1-0,SELL,0.1227,0.1712,-0.0484,1.0,-0.8288
M4 NegBin+Frank (calib 1X2),26JUN17GHAPAN,Ghana vs Panama,1-1,1-0,BUY,0.1303,0.0991,0.0312,0.0,-0.0991
M4 NegBin+Frank (calib 1X2),26JUN17GHAPAN,Ghana vs Panama,1-2,1-0,BUY,0.0682,0.018,0.0502,0.0,-0.018
M4 NegBin+Frank (calib 1X2),26JUN17GHAPAN,Ghana vs Panama,2-1,1-0,BUY,0.0844,0.027,0.0574,0.0,-0.027
M4 NegBin+Frank (calib 1X2),26JUN17GHAPAN,Ghana vs Panama,2-2,1-0,BUY,0.0505,0.018,0.0324,0.0,-0.018
M4 NegBin+Frank (calib 1X2),26JUN17GHAPAN,Ghana vs Panama,3-1,1-0,BUY,0.0362,0.009,0.0272,0.0,-0.009
M5 NegBin+Frank (calib 1X2+O/U),26JUN17GHAPAN,Ghana vs Panama,0-0,1-0,BUY,0.3537,0.2703,0.0835,0.0,-0.2703
M5 NegBin+Frank (calib 1X2+O/U),26JUN17GHAPAN,Ghana vs Panama,0-1,1-0,SELL,0.1408,0.1622,-0.0213,0.0,0.1622
M5 NegBin+Frank (calib 1X2+O/U),26JUN17GHAPAN,Ghana vs Panama,1-0,1-0,BUY,0.1964,0.1712,0.0252,1.0,0.8288
M3 NegBin+Frank,26JUN17UZBCOL,Uzbekistan vs Colombia,0-0,1-3,BUY,0.0929,0.0085,0.0844,0.0,-0.0085
M3 NegBin+Frank,26JUN17UZBCOL,Uzbekistan vs Colombia,0-2,1-3,SELL,0.1389,0.2393,-0.1004,0.0,0.2393
M3 NegBin+Frank,26JUN17UZBCOL,Uzbekistan vs Colombia,0-3,1-3,SELL,0.0806,0.1368,-0.0561,0.0,0.1368
M3 NegBin+Frank,26JUN17UZBCOL,Uzbekistan vs Colombia,0-4,1-3,SELL,0.0366,0.0598,-0.0233,0.0,0.0598
M3 NegBin+Frank,26JUN17UZBCOL,Uzbekistan vs Colombia,1-0,1-3,BUY,0.0436,0.0085,0.0351,0.0,-0.0085
M3 NegBin+Frank,26JUN17UZBCOL,Uzbekistan vs Colombia,1-1,1-3,BUY,0.0891,0.0684,0.0207,0.0,-0.0684
M4 NegBin+Frank (calib 1X2),26JUN17UZBCOL,Uzbekistan vs Colombia,0-0,1-3,BUY,0.0683,0.0085,0.0598,0.0,-0.0085
M4 NegBin+Frank (calib 1X2),26JUN17UZBCOL,Uzbekistan vs Colombia,0-1,1-3,SELL,0.1353,0.1795,-0.0442,0.0,0.1795
M4 NegBin+Frank (calib 1X2),26JUN17UZBCOL,Uzbekistan vs Colombia,0-2,1-3,SELL,0.1302,0.2393,-0.1091,0.0,0.2393
M4 NegBin+Frank (calib 1X2),26JUN17UZBCOL,Uzbekistan vs Colombia,0-3,1-3,SELL,0.0843,0.1368,-0.0525,0.0,0.1368
M4 NegBin+Frank (calib 1X2),26JUN17UZBCOL,Uzbekistan vs Colombia,1-0,1-3,BUY,0.0364,0.0085,0.0279,0.0,-0.0085
M4 NegBin+Frank (calib 1X2),26JUN17UZBCOL,Uzbekistan vs Colombia,1-4,1-3,BUY,0.0393,0.0171,0.0222,0.0,-0.0171
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,0-1,1-3,SELL,0.038,0.1795,-0.1415,0.0,0.1795
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,0-2,1-3,SELL,0.0656,0.2393,-0.1737,0.0,0.2393
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,0-3,1-3,SELL,0.0737,0.1368,-0.0631,0.0,0.1368
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,0-5,1-3,BUY,0.0421,0.0171,0.025,0.0,-0.0171
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,1-1,1-3,SELL,0.0323,0.0684,-0.036,0.0,0.0684
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,1-3,1-3,BUY,0.0756,0.0513,0.0243,1.0,0.9487
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,1-4,1-3,BUY,0.0709,0.0171,0.0538,0.0,-0.0171
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,1-5,1-3,BUY,0.053,0.0085,0.0444,0.0,-0.0085
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,1-6,1-3,BUY,0.0331,0.0085,0.0245,0.0,-0.0085
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,2-3,1-3,BUY,0.0385,0.0085,0.0299,0.0,-0.0085
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,2-4,1-3,BUY,0.0395,0.0085,0.0309,0.0,-0.0085
M5 NegBin+Frank (calib 1X2+O/U),26JUN17UZBCOL,Uzbekistan vs Colombia,2-5,1-3,BUY,0.0319,0.0085,0.0233,0.0,-0.0085
M3 NegBin+Frank,26JUN18CZERSA,Czechia vs South Africa,0-0,1-1,BUY,0.1117,0.008,0.1037,0.0,-0.008
M3 NegBin+Frank,26JUN18CZERSA,Czechia vs South Africa,0-1,1-1,BUY,0.0787,0.008,0.0707,0.0,-0.008
M3 NegBin+Frank,26JUN18CZERSA,Czechia vs South Africa,0-2,1-1,BUY,0.0298,0.008,0.0218,0.0,-0.008
M3 NegBin+Frank,26JUN18CZERSA,Czechia vs South Africa,1-0,1-1,SELL,0.1441,0.208,-0.0639,0.0,0.208
M3 NegBin+Frank,26JUN18CZERSA,Czechia vs South Africa,2-0,1-1,SELL,0.092,0.176,-0.084,0.0,0.176
M3 NegBin+Frank,26JUN18CZERSA,Czechia vs South Africa,3-0,1-1,SELL,0.0412,0.072,-0.0308,0.0,0.072
M4 NegBin+Frank (calib 1X2),26JUN18CZERSA,Czechia vs South Africa,0-0,1-1,BUY,0.1063,0.008,0.0983,0.0,-0.008
M4 NegBin+Frank (calib 1X2),26JUN18CZERSA,Czechia vs South Africa,0-1,1-1,BUY,0.036,0.008,0.028,0.0,-0.008
M4 NegBin+Frank (calib 1X2),26JUN18CZERSA,Czechia vs South Africa,1-1,1-1,SELL,0.0754,0.136,-0.0606,1.0,-0.864
M4 NegBin+Frank (calib 1X2),26JUN18CZERSA,Czechia vs South Africa,1-2,1-1,SELL,0.0164,0.04,-0.0236,0.0,0.04
M4 NegBin+Frank (calib 1X2),26JUN18CZERSA,Czechia vs South Africa,2-1,1-1,SELL,0.0807,0.112,-0.0313,0.0,0.112
M4 NegBin+Frank (calib 1X2),26JUN18CZERSA,Czechia vs South Africa,3-0,1-1,BUY,0.0976,0.072,0.0256,0.0,-0.072
M4 NegBin+Frank (calib 1X2),26JUN18CZERSA,Czechia vs South Africa,4-0,1-1,BUY,0.0448,0.024,0.0208,0.0,-0.024
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CZERSA,Czechia vs South Africa,0-0,1-1,BUY,0.1499,0.008,0.1419,0.0,-0.008
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CZERSA,Czechia vs South Africa,1-0,1-1,BUY,0.2457,0.208,0.0377,0.0,-0.208
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CZERSA,Czechia vs South Africa,1-1,1-1,SELL,0.0545,0.136,-0.0815,1.0,-0.864
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CZERSA,Czechia vs South Africa,1-2,1-1,SELL,0.0067,0.04,-0.0333,0.0,0.04
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CZERSA,Czechia vs South Africa,2-0,1-1,BUY,0.2,0.176,0.024,0.0,-0.176
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CZERSA,Czechia vs South Africa,2-1,1-1,SELL,0.0553,0.112,-0.0567,0.0,0.112
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CZERSA,Czechia vs South Africa,2-2,1-1,SELL,0.0072,0.032,-0.0248,0.0,0.032
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CZERSA,Czechia vs South Africa,3-0,1-1,BUY,0.1101,0.072,0.0381,0.0,-0.072
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CZERSA,Czechia vs South Africa,4-0,1-1,BUY,0.0466,0.024,0.0226,0.0,-0.024
M3 NegBin+Frank,26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,0-0,3-1,SELL,0.0985,0.1803,-0.0818,0.0,0.1803
M3 NegBin+Frank,26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,0-1,3-1,SELL,0.0506,0.082,-0.0314,0.0,0.082
M3 NegBin+Frank,26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,1-0,3-1,SELL,0.1612,0.2049,-0.0437,0.0,0.2049
M3 NegBin+Frank,26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,2-1,3-1,BUY,0.0946,0.0656,0.029,0.0,-0.0656
M3 NegBin+Frank,26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,3-0,3-1,BUY,0.0706,0.0246,0.046,0.0,-0.0246
M3 NegBin+Frank,26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,3-1,3-1,BUY,0.0596,0.0164,0.0433,1.0,0.9836
M5 NegBin+Frank (calib 1X2+O/U),26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,0-0,3-1,SELL,0.0985,0.1803,-0.0818,0.0,0.1803
M5 NegBin+Frank (calib 1X2+O/U),26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,0-1,3-1,SELL,0.0506,0.082,-0.0314,0.0,0.082
M5 NegBin+Frank (calib 1X2+O/U),26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,1-0,3-1,SELL,0.1612,0.2049,-0.0437,0.0,0.2049
M5 NegBin+Frank (calib 1X2+O/U),26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,2-1,3-1,BUY,0.0946,0.0656,0.029,0.0,-0.0656
M5 NegBin+Frank (calib 1X2+O/U),26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,3-0,3-1,BUY,0.0706,0.0246,0.046,0.0,-0.0246
M5 NegBin+Frank (calib 1X2+O/U),26JUN18SUIBIH,Switzerland vs Bosnia and Herzegovina,3-1,3-1,BUY,0.0596,0.0164,0.0433,1.0,0.9836
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,0-0,6-0,BUY,0.0731,0.0082,0.0649,0.0,-0.0082
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,1-0,6-0,BUY,0.1582,0.0082,0.15,0.0,-0.0082
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,1-1,6-0,BUY,0.0595,0.0082,0.0513,0.0,-0.0082
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,2-0,6-0,BUY,0.1677,0.0082,0.1595,0.0,-0.0082
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,2-1,6-0,BUY,0.0759,0.0082,0.0677,0.0,-0.0082
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,3-0,6-0,BUY,0.1189,0.0656,0.0533,0.0,-0.0656
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,3-1,6-0,BUY,0.0637,0.0246,0.0392,0.0,-0.0246
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,4-0,6-0,SELL,0.0648,0.1557,-0.0909,0.0,0.1557
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,4-1,6-0,SELL,0.0389,0.0738,-0.0348,0.0,0.0738
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,5-0,6-0,SELL,0.0291,0.1967,-0.1676,0.0,0.1967
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,5-1,6-0,SELL,0.0186,0.0574,-0.0388,0.0,0.0574
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,6-0,6-0,SELL,0.0112,0.1557,-0.1446,1.0,-0.8443
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,6-1,6-0,SELL,0.0073,0.041,-0.0337,0.0,0.041
M3 NegBin+Frank,26JUN18CANQAT,Canada vs Qatar,7-0,6-0,SELL,0.0037,0.0902,-0.0864,0.0,0.0902
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,0-0,6-0,BUY,0.0552,0.0082,0.047,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,0-1,6-0,BUY,0.0303,0.0082,0.0221,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,1-0,6-0,BUY,0.1203,0.0082,0.1121,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,1-1,6-0,BUY,0.0737,0.0082,0.0655,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,2-0,6-0,BUY,0.1271,0.0082,0.1189,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,2-1,6-0,BUY,0.0919,0.0082,0.0837,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,2-2,6-0,BUY,0.033,0.0082,0.0248,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,3-0,6-0,BUY,0.0897,0.0656,0.0241,0.0,-0.0656
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,3-1,6-0,BUY,0.0756,0.0246,0.051,0.0,-0.0246
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,3-2,6-0,BUY,0.0298,0.0082,0.0216,0.0,-0.0082
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,4-0,6-0,SELL,0.049,0.1557,-0.1067,0.0,0.1557
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,4-1,6-0,SELL,0.0458,0.0738,-0.0279,0.0,0.0738
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,5-0,6-0,SELL,0.0223,0.1967,-0.1744,0.0,0.1967
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,5-1,6-0,SELL,0.022,0.0574,-0.0354,0.0,0.0574
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,6-0,6-0,SELL,0.0087,0.1557,-0.147,1.0,-0.8443
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,6-1,6-0,SELL,0.0088,0.041,-0.0322,0.0,0.041
M4 NegBin+Frank (calib 1X2),26JUN18CANQAT,Canada vs Qatar,7-0,6-0,SELL,0.003,0.0902,-0.0872,0.0,0.0902
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,0-0,6-0,BUY,0.0731,0.0082,0.0649,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,1-0,6-0,BUY,0.1582,0.0082,0.15,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,1-1,6-0,BUY,0.0595,0.0082,0.0513,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,2-0,6-0,BUY,0.1677,0.0082,0.1595,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,2-1,6-0,BUY,0.0759,0.0082,0.0677,0.0,-0.0082
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,3-0,6-0,BUY,0.1189,0.0656,0.0533,0.0,-0.0656
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,3-1,6-0,BUY,0.0637,0.0246,0.0392,0.0,-0.0246
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,4-0,6-0,SELL,0.0648,0.1557,-0.0909,0.0,0.1557
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,4-1,6-0,SELL,0.0389,0.0738,-0.0348,0.0,0.0738
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,5-0,6-0,SELL,0.0291,0.1967,-0.1676,0.0,0.1967
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,5-1,6-0,SELL,0.0186,0.0574,-0.0388,0.0,0.0574
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,6-0,6-0,SELL,0.0112,0.1557,-0.1446,1.0,-0.8443
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,6-1,6-0,SELL,0.0073,0.041,-0.0337,0.0,0.041
M5 NegBin+Frank (calib 1X2+O/U),26JUN18CANQAT,Canada vs Qatar,7-0,6-0,SELL,0.0037,0.0902,-0.0864,0.0,0.0902
M3 NegBin+Frank,26JUN18MEXKOR,Mexico vs Korea Republic,0-0,1-0,SELL,0.1241,0.254,-0.1299,0.0,0.254
M3 NegBin+Frank,26JUN18MEXKOR,Mexico vs Korea Republic,0-1,1-0,SELL,0.0682,0.119,-0.0509,0.0,0.119
M3 NegBin+Frank,26JUN18MEXKOR,Mexico vs Korea Republic,2-0,1-0,BUY,0.1146,0.0635,0.0511,0.0,-0.0635
M3 NegBin+Frank,26JUN18MEXKOR,Mexico vs Korea Republic,2-1,1-0,BUY,0.0921,0.0476,0.0445,0.0,-0.0476
M3 NegBin+Frank,26JUN18MEXKOR,Mexico vs Korea Republic,3-0,1-0,BUY,0.0538,0.0159,0.0379,0.0,-0.0159
M3 NegBin+Frank,26JUN18MEXKOR,Mexico vs Korea Republic,3-1,1-0,BUY,0.0488,0.0079,0.0409,0.0,-0.0079
M4 NegBin+Frank (calib 1X2),26JUN18MEXKOR,Mexico vs Korea Republic,0-0,1-0,SELL,0.1115,0.254,-0.1424,0.0,0.254
M4 NegBin+Frank (calib 1X2),26JUN18MEXKOR,Mexico vs Korea Republic,0-1,1-0,SELL,0.0849,0.119,-0.0342,0.0,0.119
M4 NegBin+Frank (calib 1X2),26JUN18MEXKOR,Mexico vs Korea Republic,1-0,1-0,SELL,0.1373,0.1825,-0.0452,1.0,-0.8175
M4 NegBin+Frank (calib 1X2),26JUN18MEXKOR,Mexico vs Korea Republic,1-1,1-0,BUY,0.1253,0.1032,0.0221,0.0,-0.1032
M4 NegBin+Frank (calib 1X2),26JUN18MEXKOR,Mexico vs Korea Republic,1-2,1-0,BUY,0.0569,0.0317,0.0251,0.0,-0.0317
M4 NegBin+Frank (calib 1X2),26JUN18MEXKOR,Mexico vs Korea Republic,2-0,1-0,BUY,0.084,0.0635,0.0205,0.0,-0.0635
M4 NegBin+Frank (calib 1X2),26JUN18MEXKOR,Mexico vs Korea Republic,2-1,1-0,BUY,0.0911,0.0476,0.0435,0.0,-0.0476
M4 NegBin+Frank (calib 1X2),26JUN18MEXKOR,Mexico vs Korea Republic,2-2,1-0,BUY,0.047,0.0159,0.0311,0.0,-0.0159
M4 NegBin+Frank (calib 1X2),26JUN18MEXKOR,Mexico vs Korea Republic,3-0,1-0,BUY,0.0363,0.0159,0.0204,0.0,-0.0159
M4 NegBin+Frank (calib 1X2),26JUN18MEXKOR,Mexico vs Korea Republic,3-1,1-0,BUY,0.0435,0.0079,0.0356,0.0,-0.0079
M5 NegBin+Frank (calib 1X2+O/U),26JUN18MEXKOR,Mexico vs Korea Republic,0-0,1-0,BUY,0.3655,0.254,0.1116,0.0,-0.254
M5 NegBin+Frank (calib 1X2+O/U),26JUN18MEXKOR,Mexico vs Korea Republic,1-0,1-0,BUY,0.2316,0.1825,0.0491,1.0,0.8175
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,0-0,2-0,BUY,0.0874,0.0084,0.079,0.0,-0.0084
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,0-1,2-0,BUY,0.1053,0.0084,0.0969,0.0,-0.0084
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,0-2,2-0,BUY,0.0631,0.0084,0.0547,0.0,-0.0084
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,1-0,2-0,BUY,0.0879,0.0084,0.0795,0.0,-0.0084
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,1-1,2-0,BUY,0.1243,0.0084,0.1159,0.0,-0.0084
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,1-2,2-0,BUY,0.0866,0.0084,0.0782,0.0,-0.0084
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,1-3,2-0,BUY,0.0403,0.0084,0.0319,0.0,-0.0084
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,2-0,2-0,SELL,0.045,0.2101,-0.1651,1.0,-0.7899
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,2-2,2-0,BUY,0.0578,0.0252,0.0326,0.0,-0.0252
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,2-3,2-0,BUY,0.0292,0.0084,0.0208,0.0,-0.0084
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,3-0,2-0,SELL,0.0167,0.2101,-0.1934,0.0,0.2101
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,3-1,2-0,SELL,0.0288,0.1008,-0.0721,0.0,0.1008
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,4-0,2-0,SELL,0.005,0.1092,-0.1043,0.0,0.1092
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,4-1,2-0,SELL,0.0088,0.0504,-0.0416,0.0,0.0504
M3 NegBin+Frank,26JUN19USAAUS,USA vs Australia,5-0,2-0,SELL,0.0012,0.0252,-0.024,0.0,0.0252
M4 NegBin+Frank (calib 1X2),26JUN19USAAUS,USA vs Australia,0-0,2-0,BUY,0.0398,0.0084,0.0314,0.0,-0.0084
M4 NegBin+Frank (calib 1X2),26JUN19USAAUS,USA vs Australia,0-1,2-0,BUY,0.0388,0.0084,0.0304,0.0,-0.0084
M4 NegBin+Frank (calib 1X2),26JUN19USAAUS,USA vs Australia,1-0,2-0,BUY,0.0805,0.0084,0.0721,0.0,-0.0084
M4 NegBin+Frank (calib 1X2),26JUN19USAAUS,USA vs Australia,1-1,2-0,BUY,0.0865,0.0084,0.0781,0.0,-0.0084
M4 NegBin+Frank (calib 1X2),26JUN19USAAUS,USA vs Australia,1-2,2-0,BUY,0.0466,0.0084,0.0382,0.0,-0.0084
