series,event_ticker,match,kickoff_utc,snapshot_utc,market_ticker,outcome,price_2h_before,implied_prob,decimal_odds,yes_bid,yes_ask,result,market_status,volume_at_snapshot
KXWCGAME,KXWCGAME-26JUN24SCOBRA,Scotland vs Brazil,2026-06-24T23:52:43.937000+00:00,2026-06-24T21:52:43+00:00,KXWCGAME-26JUN24SCOBRA-BRA,Brazil,0.76,0.76,1.316,0.75,0.76,yes,finalized,913901.18
KXWCGAME,KXWCGAME-26JUN24SCOBRA,Scotland vs Brazil,2026-06-24T23:52:43.937000+00:00,2026-06-24T21:52:43+00:00,KXWCGAME-26JUN24SCOBRA-TIE,Tie,0.17,0.17,5.882,0.17,0.18,no,finalized,150439.72
KXWCGAME,KXWCGAME-26JUN24MARHTI,Morocco vs Haiti,2026-06-24T23:51:45.482000+00:00,2026-06-24T21:51:45+00:00,KXWCGAME-26JUN24MARHTI-MAR,Morocco,0.8,0.8,1.25,0.79,0.8,yes,finalized,516774.58
KXWCGAME,KXWCGAME-26JUN24MARHTI,Morocco vs Haiti,2026-06-24T23:51:45.482000+00:00,2026-06-24T21:51:45+00:00,KXWCGAME-26JUN24MARHTI-HTI,Haiti,0.07,0.07,14.286,0.06,0.07,no,finalized,8445787.55
KXWCGAME,KXWCGAME-26JUN24MARHTI,Morocco vs Haiti,2026-06-24T23:51:45.482000+00:00,2026-06-24T21:51:45+00:00,KXWCGAME-26JUN24MARHTI-TIE,Tie,0.15,0.15,6.667,0.14,0.15,no,finalized,3812858.24
KXWCGAME,KXWCGAME-26JUN24SUICAN,Switzerland vs Canada,2026-06-24T20:49:06.740000+00:00,2026-06-24T18:49:06+00:00,KXWCGAME-26JUN24SUICAN-SUI,Switzerland,0.4,0.4,2.5,0.39,0.4,yes,finalized,589506.64
KXWCGAME,KXWCGAME-26JUN24SUICAN,Switzerland vs Canada,2026-06-24T20:49:06.740000+00:00,2026-06-24T18:49:06+00:00,KXWCGAME-26JUN24SUICAN-CAN,Canada,0.3,0.3,3.333,0.29,0.3,no,finalized,845095.87
KXWCGAME,KXWCGAME-26JUN24SUICAN,Switzerland vs Canada,2026-06-24T20:49:06.740000+00:00,2026-06-24T18:49:06+00:00,KXWCGAME-26JUN24SUICAN-TIE,Tie,0.32,0.32,3.125,0.31,0.32,no,finalized,232014.74
KXWCGAME,KXWCGAME-26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2026-06-24T22:00:00+00:00,2026-06-24T20:00:00+00:00,KXWCGAME-26JUN24BIHQAT-BIH,Bosnia and Herzegovina,0.81,0.81,1.235,0.8,0.81,yes,finalized,4009118.69
KXWCGAME,KXWCGAME-26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2026-06-24T22:00:00+00:00,2026-06-24T20:00:00+00:00,KXWCGAME-26JUN24BIHQAT-QAT,Qatar,0.05,0.05,20.0,0.04,0.05,no,finalized,5814671.44
